customer_id,first_name,last_name,phone_number
1,First1,Last1,512-555-1001
2,First2,Last2,512-555-1002
3,First3,Last3,512-555-1003
4,First4,Last4,512-555-1004
5,First5,Last5,512-555-1005
6,First6,Last6,512-555-1006
7,First7,Last7,512-555-1007
8,First8,Last8,512-555-1008
9,First9,Last9,512-555-1009
10,First10,Last10,512-555-1010
11,First11,Last11,512-555-1011
12,First12,Last12,512-555-1012
13,First13,Last13,512-555-1013
14,First14,Last14,512-555-1014
15,First15,Last15,512-555-1015
16,First16,Last16,512-555-1016
17,First17,Last17,512-555-1017
18,First18,Last18,512-555-1018
19,First19,Last19,512-555-1019
20,First20,Last20,512-555-1020
21,First21,Last21,512-555-1021
22,First22,Last22,512-555-1022
23,First23,Last23,512-555-1023
24,First24,Last24,512-555-1024
25,First25,Last25,512-555-1025
26,First26,Last26,512-555-1026
27,First27,Last27,512-555-1027
28,First28,Last28,512-555-1028
29,First29,Last29,512-555-1029
30,First30,Last30,512-555-1030
31,First31,Last31,512-555-1031
32,First32,Last32,512-555-1032
33,First33,Last33,512-555-1033
34,First34,Last34,512-555-1034
35,First35,Last35,512-555-1035
36,First36,Last36,512-555-1036
37,First37,Last37,512-555-1037
38,First38,Last38,512-555-1038
39,First39,Last39,512-555-1039
40,First40,Last40,512-555-1040
41,First41,Last41,512-555-1041
42,First42,Last42,512-555-1042
43,First43,Last43,512-555-1043
44,First44,Last44,512-555-1044
45,First45,Last45,512-555-1045
46,First46,Last46,512-555-1046
47,First47,Last47,512-555-1047
48,First48,Last48,512-555-1048
49,First49,Last49,512-555-1049
50,First50,Last50,512-555-1050
51,First51,Last51,512-555-1051
52,First52,Last52,512-555-1052
53,First53,Last53,512-555-1053
54,First54,Last54,512-555-1054
55,First55,Last55,512-555-1055
56,First56,Last56,512-555-1056
57,First57,Last57,512-555-1057
58,First58,Last58,512-555-1058
59,First59,Last59,512-555-1059
60,First60,Last60,512-555-1060
61,First61,Last61,512-555-1061
62,First62,Last62,512-555-1062
63,First63,Last63,512-555-1063
64,First64,Last64,512-555-1064
65,First65,Last65,512-555-1065
66,First66,Last66,512-555-1066
67,First67,Last67,512-555-1067
68,First68,Last68,512-555-1068
69,First69,Last69,512-555-1069
70,First70,Last70,512-555-1070
71,First71,Last71,512-555-1071
72,First72,Last72,512-555-1072
73,First73,Last73,512-555-1073
74,First74,Last74,512-555-1074
75,First75,Last75,512-555-1075
76,First76,Last76,512-555-1076
77,First77,Last77,512-555-1077
78,First78,Last78,512-555-1078
79,First79,Last79,512-555-1079
80,First80,Last80,512-555-1080
81,First81,Last81,512-555-1081
82,First82,Last82,512-555-1082
83,First83,Last83,512-555-1083
84,First84,Last84,512-555-1084
85,First85,Last85,512-555-1085
86,First86,Last86,512-555-1086
87,First87,Last87,512-555-1087
88,First88,Last88,512-555-1088
89,First89,Last89,512-555-1089
90,First90,Last90,512-555-1090
91,First91,Last91,512-555-1091
92,First92,Last92,512-555-1092
93,First93,Last93,512-555-1093
94,First94,Last94,512-555-1094
95,First95,Last95,512-555-1095
96,First96,Last96,512-555-1096
97,First97,Last97,512-555-1097
98,First98,Last98,512-555-1098
99,First99,Last99,512-555-1099
100,First100,Last100,512-555-1100
